control_id,family,title,baseline,all_baselines,description,withdrawn
AC-1,AC,Policy and Procedures,Low,"Low,Moderate,High,Privacy","a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] access control policy that:
(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2. Procedures to facilitate the implementation of the access control policy and the associated access controls;
b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and
c. Review and update the current access control:
1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].",0
AC-10,AC,Concurrent Session Control,High,High,Limit the number of concurrent sessions for each [Assignment: organization-defined account and/or account type] to [Assignment: organization-defined number].,0
AC-11,AC,Device Lock,Moderate,"Moderate,High","a. Prevent further access to the system by [Selection (one or more): initiating a device lock after [Assignment: organization-defined time period] of inactivity; requiring the user to initiate a device lock before leaving the system unattended]; and
b. Retain the device lock until the user reestablishes access using established identification and authentication procedures.",0
AC-11(1),AC,Device Lock | Pattern-hiding Displays,Moderate,"Moderate,High","Conceal, via the device lock, information previously visible on the display with a publicly viewable image.",0
AC-12,AC,Session Termination,Moderate,"Moderate,High",Automatically terminate a user session after [Assignment: organization-defined conditions or trigger events requiring session disconnect].,0
AC-12(1),AC,Session Termination | User-initiated Logouts,None,None,Provide a logout capability for user-initiated communications sessions whenever authentication is used to gain access to [Assignment: organization-defined information resources].,0
AC-12(2),AC,Session Termination | Termination Message,None,None,Display an explicit logout message to users indicating the termination of authenticated communications sessions.,0
AC-12(3),AC,Session Termination | Timeout Warning Message,None,None,Display an explicit message to users indicating that the session will end in [Assignment: organization-defined time until end of session].,0
AC-13,AC,Supervision and Review — Access Control,None,None,[Withdrawn: Incorporated into AC-2 and AU-6.],1
AC-14,AC,Permitted Actions Without Identification or Authentication,Low,"Low,Moderate,High","a. Identify [Assignment: organization-defined user actions] that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and
b. Document and provide supporting rationale in the security plan for the system, user actions not requiring identification or authentication.",0
AC-14(1),AC,Permitted Actions Without Identification or Authentication | Necessary Uses,None,None,[Withdrawn: Incorporated into AC-14.],1
AC-15,AC,Automated Marking,None,None,[Withdrawn: Incorporated into MP-3.],1
AC-16,AC,Security and Privacy Attributes,None,None,"a. Provide the means to associate [Assignment: organization-defined types of security and privacy attributes] with [Assignment: organization-defined security and privacy attribute values] for information in storage, in process, and/or in transmission;
b. Ensure that the attribute associations are made and retained with the information;
c. Establish the following permitted security and privacy attributes from the attributes defined in AC-16a for [Assignment: organization-defined systems]: [Assignment: organization-defined security and privacy attributes];
d. Determine the following permitted attribute values or ranges for each of the established attributes: [Assignment: organization-defined attribute values or ranges for established attributes];
e. Audit changes to attributes; and
f. Review [Assignment: organization-defined security and privacy attributes] for applicability [Assignment: organization-defined frequency].",0
AC-16(1),AC,Security and Privacy Attributes | Dynamic Attribute Association,None,None,Dynamically associate security and privacy attributes with [Assignment: organization-defined subjects and objects] in accordance with the following security and privacy policies as information is created and combined: [Assignment: organization-defined security and privacy policies].,0
AC-16(10),AC,Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,None,None,Provide authorized individuals the capability to define or change the type and value of security and privacy attributes available for association with subjects and objects.,0
AC-16(2),AC,Security and Privacy Attributes | Attribute Value Changes by Authorized Individuals,None,None,Provide authorized individuals (or processes acting on behalf of individuals) the capability to define or change the value of associated security and privacy attributes.,0
AC-16(3),AC,Security and Privacy Attributes | Maintenance of Attribute Associations by System,None,None,Maintain the association and integrity of [Assignment: organization-defined security and privacy attributes] to [Assignment: organization-defined subjects and objects].,0
AC-16(4),AC,Security and Privacy Attributes | Association of Attributes by Authorized Individuals,None,None,Provide the capability to associate [Assignment: organization-defined security and privacy attributes] with [Assignment: organization-defined subjects and objects] by authorized individuals (or processes acting on behalf of individuals).,0
AC-16(5),AC,Security and Privacy Attributes | Attribute Displays on Objects to Be Output,None,None,"Display security and privacy attributes in human-readable form on each object that the system transmits to output devices to identify [Assignment: organization-defined special dissemination, handling, or distribution instructions] using [Assignment: organization-defined human-readable, standard naming conventions].",0
AC-16(6),AC,Security and Privacy Attributes | Maintenance of Attribute Association,None,None,Require personnel to associate and maintain the association of [Assignment: organization-defined security and privacy attributes] with [Assignment: organization-defined subjects and objects] in accordance with [Assignment: organization-defined security and privacy policies].,0
AC-16(7),AC,Security and Privacy Attributes | Consistent Attribute Interpretation,None,None,Provide a consistent interpretation of security and privacy attributes transmitted between distributed system components.,0
AC-16(8),AC,Security and Privacy Attributes | Association Techniques and Technologies,None,None,Implement [Assignment: organization-defined techniques and technologies] in associating security and privacy attributes to information.,0
AC-16(9),AC,Security and Privacy Attributes | Attribute Reassignment — Regrading Mechanisms,None,None,Change security and privacy attributes associated with information only via regrading mechanisms validated using [Assignment: organization-defined techniques or procedures].,0
AC-17,AC,Remote Access,Low,"Low,Moderate,High","a. Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and
b. Authorize each type of remote access to the system prior to allowing such connections.",0
AC-17(1),AC,Remote Access | Monitoring and Control,Moderate,"Moderate,High",Employ automated mechanisms to monitor and control remote access methods.,0
AC-17(10),AC,Remote Access | Authenticate Remote Commands,None,None,Implement [Assignment: organization-defined mechanisms] to authenticate [Assignment: organization-defined remote commands].,0
AC-17(2),AC,Remote Access | Protection of Confidentiality and Integrity Using Encryption,Moderate,"Moderate,High",Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.,0
AC-17(3),AC,Remote Access | Managed Access Control Points,Moderate,"Moderate,High",Route remote accesses through authorized and managed network access control points.,0
AC-17(4),AC,Remote Access | Privileged Commands and Access,Moderate,"Moderate,High","(a) Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides assessable evidence and for the following needs: [Assignment: organization-defined needs]; and
(b) Document the rationale for remote access in the security plan for the system.",0
AC-17(5),AC,Remote Access | Monitoring for Unauthorized Connections,None,None,[Withdrawn: Incorporated into SI-4.],1
AC-17(6),AC,Remote Access | Protection of Mechanism Information,None,None,Protect information about remote access mechanisms from unauthorized use and disclosure.,0
AC-17(7),AC,Remote Access | Additional Protection for Security Function Access,None,None,[Withdrawn: Incorporated into AC-3(10).],1
AC-17(8),AC,Remote Access | Disable Nonsecure Network Protocols,None,None,[Withdrawn: Incorporated into CM-7.],1
AC-17(9),AC,Remote Access | Disconnect or Disable Access,None,None,Provide the capability to disconnect or disable remote access to the system within [Assignment: organization-defined time period].,0
AC-18,AC,Wireless Access,Low,"Low,Moderate,High","a. Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and
b. Authorize each type of wireless access to the system prior to allowing such connections.",0
AC-18(1),AC,Wireless Access | Authentication and Encryption,Moderate,"Moderate,High",Protect wireless access to the system using authentication of [Selection (one or more): users; devices] and encryption.,0
AC-18(2),AC,Wireless Access | Monitoring Unauthorized Connections,None,None,[Withdrawn: Incorporated into SI-4.],1
